arm,lead,method,threshold_mmh,scale_km,fss
CorrDiff,pooled,persistence,0.5,101,0.943449
CorrDiff,pooled,persistence,1,1,0.470985
CorrDiff,pooled,persistence,1,5,0.585469
CorrDiff,pooled,persistence,1,11,0.667479
CorrDiff,pooled,persistence,1,21,0.753395
CorrDiff,pooled,persistence,1,51,0.868685
CorrDiff,pooled,persistence,1,101,0.929042
CorrDiff,pooled,persistence,2,1,0.361497
CorrDiff,pooled,persistence,2,5,0.483231
CorrDiff,pooled,persistence,2,11,0.573985
CorrDiff,pooled,persistence,2,21,0.673601
CorrDiff,pooled,persistence,2,51,0.815923
CorrDiff,pooled,persistence,2,101,0.898054
CorrDiff,pooled,persistence,4,1,0.251550
CorrDiff,pooled,persistence,4,5,0.363804
CorrDiff,pooled,persistence,4,11,0.452015
CorrDiff,pooled,persistence,4,21,0.558350
CorrDiff,pooled,persistence,4,51,0.724133
CorrDiff,pooled,persistence,4,101,0.834126
CorrDiff,pooled,persistence,8,1,0.166669
CorrDiff,pooled,persistence,8,5,0.239852
CorrDiff,pooled,persistence,8,11,0.314783
CorrDiff,pooled,persistence,8,21,0.434114
CorrDiff,pooled,persistence,8,51,0.635598
CorrDiff,pooled,persistence,8,101,0.767550
